code,name,quantity,brands,Energy,Saturated_fatty_acids,Sugars,Fiber,Proteins,Salt,Fruit/vegetable,Nutriscore,Nutriscore_point
3.288132600412E12,Cool Pétales Chocolat,450.0,Vitabio,387.0,1.6,21.0,7.6,9.7,0.18,0.0,a,-1.0
3.297760084006E12,Dessert gourmand chocolat,220,Charles & Alice,159.0,6.5,17.0,1.2,1.5,0.02,0.0,c,8.0
3.297760085003E12,Dessert Gourmand Végétal au Chocolat,2 x 110,Happy Coco!,177.0,8.5,17.0,1.2,1.6,0.01,0.0,d,11.0
3.322680010542E12,Whaou Bio,6x32,Whaou!,464.0,3.7,36.0,2.6,7.1,0.85,0.0,d,16.0
3.329483321035E12,Muesli Crousti. choc,200,Markal,449.0,5.0,20.2,6.5,9.5,0.02,0.0,c,8.0
3.339523275006E12,Mousse Chocolat noir,180  (2 x 90),"Laiterie du Perigord, Laiterie du Périgord, Laiterie du Périgord",304.0,11.5,26.6,1.2,7.6,0.27,0.0,d,18.0
3.347430009065E12,Rondelines d'épeautre au chocolat (200gr),200,Moulin des moines,403.0,6.5,9.79,8.26,11.42,0.029,0.0,c,8.0
3.34743001933E12,Crunchy d'epeautre au chocolat,250,Moulin des moines,423.0,3.95,19.07,5.82,8.83,0.1,0.0,c,7.0
3.347430021807E12,Galettes de riz nappées chocolat,150,Moulin des Moines,473.0,9.83,12.62,3.03,7.0,0.02,0.0,d,13.0
3.347430021869E12,Galette d'épeautre nappé de chocolat,200,Moulin des Moines,440.0,9.85,12.62,7.83,11.16,0.01,0.0,d,11.0
3.347430022446E12,Galette d'épeautre et riz nappées chocolat et sésame,150,Moulin des moines,448.0,10.08,12.35,3.97,7.26,0.02,0.0,d,13.0
3.347431928358E12,Muesli aux pépites de chocolat,500.0,Moulin des moines,357.0,2.4,7.0,9.3,9.9,0.08,0.0,a,-3.0
3.347439950313E12,Galettes d'epeautre chocolat,150.0,Moulin des Moines,440.0,9.85,12.62,7.83,11.16,0.01,0.0,d,11.0
3.347439950412E12,Galettes de petit épeautre napées de chocolat,150,NATURALINE,436.0,9.83,13.92,5.11,10.25,0.01,0.0,d,12.0
3.350031895135E12,Boîte de chocolat giandujas aux noisettes,170.0,"Monoprix Gourmet,Monoprix",586.0,16.0,44.0,2.3,8.2,0.15,0.0,e,24.0
